product_id,fraud_label,listed_price,original_price,seller_rating,rating_count,item_rating,item_rating_count,review1_rating,review2_rating,price_deviation,price_ratio,abnormal_discount,review_rating_diff,seller_item_rating_gap,listed_price_scaled,original_price_scaled,price_deviation_scaled,price_ratio_scaled,seller_rating_scaled,rating_count_scaled,item_rating_scaled,item_rating_count_scaled,review1_rating_scaled,review2_rating_scaled,review_rating_diff_scaled,seller_item_rating_gap_scaled
001586,0,159.0,159.0,4.9,46.0,4.4,26.0,5.0,5.0,0.0,1.0,0,0.0,0.5,0.06260032102728733,0.06192650419040965,0.9496360814694962,0.05036391853050386,0.005895256375102825,6.870506807101737e-08,0.8500000000000001,7.449677428967326e-05,1.0,1.0,0.0,0.0006888001102080177
001587,0,225.0,225.0,4.9,46.0,4.4,150.0,5.0,5.0,0.0,1.0,0,0.0,0.5,0.08908507223113965,0.08843029302749568,0.9496360814694962,0.05036391853050386,0.005895256375102825,6.870506807101737e-08,0.8500000000000001,0.0004440007747664526,1.0,1.0,0.0,0.0006888001102080177
001588,0,498.0,498.0,4.9,46.0,4.3,14.0,5.0,5.0,0.0,1.0,0,0.0,0.6000000000000005,0.19863563402889245,0.19805960139907877,0.9496360814694962,0.05036391853050386,0.005895256375102825,6.870506807101737e-08,0.825,3.873832263063009e-05,1.0,1.0,0.0,0.0008265601322496219
001589,0,498.0,498.0,4.9,46.0,4.3,14.0,5.0,5.0,0.0,1.0,0,0.0,0.6000000000000005,0.19863563402889245,0.19805960139907877,0.9496360814694962,0.05036391853050386,0.005895256375102825,6.870506807101737e-08,0.825,3.873832263063009e-05,1.0,1.0,0.0,0.0008265601322496219
001590,0,343.0,343.0,4.9,46.0,4.8,34.0,5.0,5.0,0.0,1.0,0,0.0,0.10000000000000053,0.13643659711075443,0.1358158548877404,0.9496360814694962,0.05036391853050386,0.005895256375102825,6.870506807101737e-08,0.95,9.83357420623687e-05,1.0,1.0,0.0,0.00013776002204160426
001591,0,219.99,219.99,4.5,70.0,4.8,34.0,5.0,5.0,0.0,1.0,0,0.0,0.2999999999999998,0.08707463884430176,0.08641841451122596,0.9496360814694962,0.05036391853050386,0.005346860433232794,1.0455119054285253e-07,0.95,9.83357420623687e-05,1.0,1.0,0.0,0.00041328006612481035
001592,0,299.0,299.0,3.5,2312.0,4.8,34.0,5.0,5.0,0.0,1.0,0,0.0,1.2999999999999998,0.1187800963081862,0.11814666232968303,0.9496360814694962,0.05036391853050386,0.0039758705785577185,3.4531764647867865e-06,0.95,9.83357420623687e-05,1.0,1.0,0.0,0.0017908802865408456
001593,0,330.0,330.0,4.0,2282.0,4.8,34.0,5.0,5.0,0.0,1.0,0,0.0,0.7999999999999998,0.1312199036918138,0.1305954116319507,0.9496360814694962,0.05036391853050386,0.004661365505895256,3.4083688116969924e-06,0.95,9.83357420623687e-05,1.0,1.0,0.0,0.001102080176332828
001594,0,343.0,343.0,4.5,52.0,4.8,34.0,5.0,5.0,0.0,1.0,0,0.0,0.2999999999999998,0.13643659711075443,0.1358158548877404,0.9496360814694962,0.05036391853050386,0.005346860433232794,7.766659868897616e-08,0.95,9.83357420623687e-05,1.0,1.0,0.0,0.00041328006612481035
001595,0,350.0,350.0,4.5,7.0,4.8,34.0,5.0,5.0,0.0,1.0,0,0.0,0.2999999999999998,0.13924558587479935,0.13862686279470404,0.9496360814694962,0.05036391853050386,0.005346860433232794,1.0455119054285253e-08,0.95,9.83357420623687e-05,1.0,1.0,0.0,0.00041328006612481035
